,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank
231,G:HGNC:2285,G:HGNC:2277,['GTG'],5.0,0.976,206.0
232,G:HGNC:18133,G:HGNC:9413,['GTG'],290.0,0.613,749.0
233,G:HGNC:9611,G:HGNC:10481,['GTG'],260.0,0.67,789.0
234,G:HGNC:9611,G:HGNC:10481,['GMG'],188.0,0.584,452.0
235,G:HGNC:9611,G:HGNC:10481,['GMDMG'],145.0,0.949,2832.0
236,G:HGNC:9611,G:HGNC:10481,['GMDpDMG'],3203.0,0.284,4473.0
237,G:HGNC:9611,G:HGNC:10481,"['GTG', 'GMG']",119.0,0.856,825.0
238,G:HGNC:9611,G:HGNC:10481,"['GTG', 'GMDMG']",1564.0,0.611,4017.0
239,G:HGNC:9611,G:HGNC:10481,"['GTG', 'GMDpDMG']",4110.0,0.281,5714.0
240,G:HGNC:9611,G:HGNC:10481,"['GMG', 'GMDMG']",314.0,0.862,2281.0
241,G:HGNC:9611,G:HGNC:10481,"['GMG', 'GMDpDMG']",1815.0,0.257,2444.0
242,G:HGNC:9611,G:HGNC:10481,"['GMDMG', 'GMDpDMG']",2250.0,0.64,6258.0
243,G:HGNC:9611,G:HGNC:10481,"['GTG', 'GMG', 'GMDMG']",1015.0,0.605,2567.0
244,G:HGNC:9611,G:HGNC:10481,"['GTG', 'GMG', 'GMDpDMG']",1765.0,0.335,2653.0
245,G:HGNC:9611,G:HGNC:10481,"['GTG', 'GMDMG', 'GMDpDMG']",3826.0,0.468,7198.0
246,G:HGNC:9611,G:HGNC:10481,"['GMG', 'GMDMG', 'GMDpDMG']",1214.0,0.591,2968.0
247,G:HGNC:9611,G:HGNC:10481,"['GTG', 'GMG', 'GMDMG', 'GMDpDMG']",1653.0,0.445,2980.0
248,G:HGNC:1973,G:HGNC:5201,['GTG'],42.0,0.814,226.0
249,G:HGNC:1973,G:HGNC:5201,['GMDMG'],104.0,0.945,1882.0
250,G:HGNC:1973,G:HGNC:5201,"['GTG', 'GMDMG']",147.0,0.826,847.0
251,G:HGNC:9299,G:HGNC:15566,['GTG'],78.0,0.861,562.0
252,G:HGNC:9299,G:HGNC:15566,['GMDMG'],2597.0,0.17,3129.0
253,G:HGNC:9299,G:HGNC:15566,"['GTG', 'GMDMG']",3244.0,0.219,4154.0
254,G:HGNC:9286,G:HGNC:9288,['GTG'],4.0,0.985,275.0
255,G:HGNC:9286,G:HGNC:9288,['GMG'],201.0,0.648,571.0
256,G:HGNC:9286,G:HGNC:9288,['GMDMG'],3486.0,0.123,3974.0
257,G:HGNC:9286,G:HGNC:9288,['GMDpDMG'],4000.0,0.075,4324.0
258,G:HGNC:9286,G:HGNC:9288,"['GTG', 'GMG']",29.0,0.954,627.0
259,G:HGNC:9286,G:HGNC:9288,"['GTG', 'GMDMG']",3674.0,0.165,4398.0
260,G:HGNC:9286,G:HGNC:9288,"['GTG', 'GMDpDMG']",3949.0,0.178,4807.0
261,G:HGNC:9286,G:HGNC:9288,"['GMG', 'GMDMG']",2828.0,0.122,3220.0
262,G:HGNC:9286,G:HGNC:9288,"['GMG', 'GMDpDMG']",2743.0,0.143,3202.0
263,G:HGNC:9286,G:HGNC:9288,"['GMDMG', 'GMDpDMG']",6480.0,0.05,6820.0
