,gene1,gene2,result
168,G:HGNC:18133,G:HGNC:9412,"Meta path:['GTG'], rank is 356 and total rank is 814"
169,G:HGNC:20785,G:HGNC:9322,"Meta path:['GTG'], rank is 267 and total rank is 487"
170,G:HGNC:9276,G:HGNC:9299,"Meta path:['GTG'], rank is 55 and total rank is 542"
171,G:HGNC:393,G:HGNC:13480,"Meta path:['GTG'], rank is 82 and total rank is 505"
172,G:HGNC:324,G:HGNC:20886,"Meta path:['GTG'], rank is 9 and total rank is 353"
173,G:HGNC:16890,G:HGNC:9287,"Meta path:['GTG'], rank is 193 and total rank is 453"
174,G:HGNC:18485,G:HGNC:26933,"Meta path:['GTG'], rank is 61 and total rank is 334"
175,G:HGNC:799,G:HGNC:801,"Meta path:['GDpDG', 'GDpDpDG', 'GPdPG', 'GTG', 'GMG'], rank is 1 and total rank is 1"
176,G:HGNC:9288,G:HGNC:9300,"Meta path:['GTG'], rank is 193 and total rank is 389"
177,G:HGNC:1461,G:HGNC:1470,"Meta path:['GPdPG'], rank is 2 and total rank is 37"
178,G:HGNC:9304,G:HGNC:30695,"Meta path:['GTG'], rank is 72 and total rank is 341"
179,G:HGNC:1133,G:HGNC:3655,"Meta path:['GPdPG'], rank is 8 and total rank is 42"
180,G:HGNC:29103,G:HGNC:814,"Meta path:['GTG'], rank is 40 and total rank is 539"
181,G:HGNC:19342,G:HGNC:23317,"Meta path:['GTG'], rank is 19 and total rank is 177"
182,G:HGNC:9288,G:HGNC:30695,"Meta path:['GMDMG'], rank is 348 and total rank is 5996"
183,G:HGNC:9031,G:HGNC:13414,"Meta path:['GPdPG', 'GTG'], rank is 1 and total rank is 49"
184,G:HGNC:8777,G:HGNC:8779,"Meta path:['GPdPG'], rank is 6 and total rank is 36"
185,G:HGNC:9204,G:HGNC:9206,"Meta path:['GTG'], rank is 1 and total rank is 343"
186,G:HGNC:17038,G:HGNC:15868,"Meta path:['GTG'], rank is 3 and total rank is 392"
187,G:HGNC:9407,G:HGNC:11408,"Meta path:['GTG'], rank is 103 and total rank is 758"
188,G:HGNC:6863,G:HGNC:11842,"Meta path:['GPdPG'], rank is 1 and total rank is 27"
189,G:HGNC:9314,G:HGNC:9287,"Meta path:['GTG'], rank is 161 and total rank is 559"
190,G:HGNC:9302,G:HGNC:9307,"Meta path:['GTG'], rank is 70 and total rank is 545"
191,G:HGNC:4127,G:HGNC:19877,"Meta path:['GTG'], rank is 3 and total rank is 235"
192,G:HGNC:8590,G:HGNC:18133,"Meta path:['GPdPG'], rank is 1 and total rank is 27"
193,G:HGNC:17,G:HGNC:9155,"Meta path:['GTG'], rank is 29 and total rank is 213"
194,G:HGNC:393,G:HGNC:6874,"Meta path:['GTG'], rank is 39 and total rank is 543"
195,G:HGNC:11408,G:HGNC:6874,"Meta path:['GTG'], rank is 74 and total rank is 729"
196,G:HGNC:4820,G:HGNC:4819,"Meta path:['GTG'], rank is 6 and total rank is 404"
197,G:HGNC:255,G:HGNC:250,"Meta path:['GTG'], rank is 4 and total rank is 279"
198,G:HGNC:11006,G:HGNC:4375,"Meta path:['GTG'], rank is 119 and total rank is 322"
