gene1,gene2
HGNC:4298,HGNC:2678
HGNC:4065,HGNC:19743
HGNC:24464,HGNC:8905
HGNC:15505,HGNC:15925
HGNC:7707,HGNC:19684
HGNC:15517,HGNC:9891
HGNC:6524,HGNC:29685
HGNC:9751,HGNC:9411
HGNC:3247,HGNC:1912
HGNC:3642,HGNC:232
HGNC:8806,HGNC:21474
HGNC:1062,HGNC:9588
HGNC:4570,HGNC:930
HGNC:11179,HGNC:16066
HGNC:361,HGNC:9870
HGNC:8108,HGNC:19684
HGNC:6664,HGNC:20233
HGNC:11449,HGNC:7708
HGNC:12592,HGNC:17175
HGNC:8783,HGNC:4298
HGNC:7413,HGNC:3133
HGNC:12266,HGNC:924
HGNC:395,HGNC:325
HGNC:4012,HGNC:25135
HGNC:9725,HGNC:1377
HGNC:29419,HGNC:4341
HGNC:17697,HGNC:4795
HGNC:29419,HGNC:9462
HGNC:37276,HGNC:9208
HGNC:15919,HGNC:7715
HGNC:15993,HGNC:469
HGNC:1509,HGNC:10545
HGNC:816,HGNC:18337
HGNC:8022,HGNC:4806
HGNC:8609,HGNC:1067
HGNC:28883,HGNC:11782
HGNC:12877,HGNC:9462
HGNC:8547,HGNC:4335
HGNC:37276,HGNC:2698
HGNC:8646,HGNC:9588
HGNC:24475,HGNC:12572
HGNC:24861,HGNC:8032
HGNC:89,HGNC:23141
HGNC:7707,HGNC:1424
HGNC:22932,HGNC:8927
HGNC:20286,HGNC:12009
HGNC:12009,HGNC:406
HGNC:757,HGNC:388
HGNC:12840,HGNC:9066
HGNC:24464,HGNC:17877
HGNC:3438,HGNC:794
HGNC:404,HGNC:9155
HGNC:9407,HGNC:8547
HGNC:24475,HGNC:18062
HGNC:4416,HGNC:11425
HGNC:3151,HGNC:14988
HGNC:19237,HGNC:6469
HGNC:10297,HGNC:7715
HGNC:7045,HGNC:3133
HGNC:11179,HGNC:2602
HGNC:12469,HGNC:800
HGNC:11425,HGNC:388
HGNC:28358,HGNC:9689
HGNC:19139,HGNC:6937
HGNC:9751,HGNC:5394
HGNC:13486,HGNC:9402
HGNC:392,HGNC:29958
HGNC:23056,HGNC:626
HGNC:1509,HGNC:1424
HGNC:14198,HGNC:7716
HGNC:1377,HGNC:11831
HGNC:2652,HGNC:5005
HGNC:9940,HGNC:7104
HGNC:7707,HGNC:4138
HGNC:4422,HGNC:291
HGNC:7179,HGNC:11777
HGNC:5394,HGNC:3647
HGNC:24592,HGNC:17877
HGNC:10547,HGNC:12592
HGNC:801,HGNC:2280
HGNC:2321,HGNC:25792
HGNC:7154,HGNC:6315
HGNC:4118,HGNC:20233
HGNC:8609,HGNC:4551
HGNC:5218,HGNC:2678
HGNC:8547,HGNC:6708
HGNC:9052,HGNC:8032
HGNC:21869,HGNC:11831
HGNC:9279,HGNC:5154
HGNC:13420,HGNC:15517
HGNC:2501,HGNC:800
HGNC:812,HGNC:17035
HGNC:9279,HGNC:30260
HGNC:2867,HGNC:12440
HGNC:6193,HGNC:7166
HGNC:7473,HGNC:9413
HGNC:6903,HGNC:7758
HGNC:13211,HGNC:18337
HGNC:6601,HGNC:9462
HGNC:1037,HGNC:10297
HGNC:4335,HGNC:16999
HGNC:18704,HGNC:9314
HGNC:4455,HGNC:11777
HGNC:8783,HGNC:20499
HGNC:8783,HGNC:4057
HGNC:30260,HGNC:7758
HGNC:11257,HGNC:4057
HGNC:1377,HGNC:21406
HGNC:24464,HGNC:12730
HGNC:9325,HGNC:877
HGNC:25135,HGNC:6050
HGNC:7413,HGNC:9388
HGNC:9453,HGNC:6171
HGNC:7473,HGNC:395
HGNC:10872,HGNC:251
HGNC:8806,HGNC:6171
HGNC:29958,HGNC:4162
HGNC:3435,HGNC:4799
HGNC:2867,HGNC:18294
HGNC:20580,HGNC:12651
HGNC:30740,HGNC:16999
HGNC:7436,HGNC:91
HGNC:6192,HGNC:409
HGNC:25461,HGNC:25538
