,gene1,gene2,ins,mPath,score
7,G:HGNC:6932,G:HGNC:3776,1,GMG,0.05
24,G:HGNC:6932,G:HGNC:9669,4,GTG,0.258064516
9,G:HGNC:6932,G:HGNC:17869,1,GDpDG,0.057142857
10,G:HGNC:6932,G:HGNC:17869,97,GDpDpDG,0.038753496
17,G:HGNC:6932,G:HGNC:14921,4,GTG,0.258064516
0,G:HGNC:6932,G:HGNC:21427,4,GTG,0.258064516
13,G:HGNC:6932,G:HGNC:315,9,GDpDpDG,0.001498751
29,G:HGNC:6932,G:HGNC:598,5,GTG,0.256410256
15,G:HGNC:6932,G:HGNC:9596,6,GTG,0.255319149
7,G:HGNC:6932,G:HGNC:235,5,GTG,0.25
27,G:HGNC:6932,G:HGNC:945,5,GTG,0.25
35,G:HGNC:6932,G:HGNC:18990,4,GTG,0.25
10,G:HGNC:6932,G:HGNC:280,4,GTG,0.25
8,G:HGNC:6932,G:HGNC:1571,5,GTG,0.25
9,G:HGNC:6932,G:HGNC:1713,4,GTG,0.25
2,G:HGNC:6932,G:HGNC:33494,3,GTG,0.25
9,G:HGNC:6932,G:HGNC:4848,4,GTG,0.25
20,G:HGNC:6932,G:HGNC:23620,3,GTG,0.25
23,G:HGNC:6932,G:HGNC:6074,1,GMG,0.25
6,G:HGNC:6932,G:HGNC:4510,4,GTG,0.25
34,G:HGNC:6932,G:HGNC:21232,5,GTG,0.25
1,G:HGNC:6932,G:HGNC:19088,31,GDpDpDG,0.016095535
8,G:HGNC:6932,G:HGNC:15828,4,GTG,0.25
36,G:HGNC:6932,G:HGNC:14600,4,GTG,0.25
7,G:HGNC:6932,G:HGNC:30829,1,GMG,0.25
5,G:HGNC:6932,G:HGNC:12694,4,GTG,0.25
3,G:HGNC:6932,G:HGNC:14674,17,GDpDpDG,0.246376812
18,G:HGNC:6932,G:HGNC:4046,5,GTG,0.243902439
8,G:HGNC:6932,G:HGNC:746,22,GDpDpDG,0.009413778
32,G:HGNC:6932,G:HGNC:23647,4,GTG,0.242424242
2,G:HGNC:6932,G:HGNC:4516,4,GTG,0.242424242
11,G:HGNC:6932,G:HGNC:753,10,GDpDpDG,0.003818251
17,G:HGNC:6932,G:HGNC:13301,4,GTG,0.242424242
11,G:HGNC:6932,G:HGNC:17983,4,GTG,0.242424242
14,G:HGNC:6932,G:HGNC:757,2,GDpDpDG,0.018957346
7,G:HGNC:6932,G:HGNC:4464,4,GTG,0.242424242
21,G:HGNC:6932,G:HGNC:10002,4,GTG,0.242424242
5,G:HGNC:6932,G:HGNC:9884,121,GDMDMDG,0.241276171
18,G:HGNC:6932,G:HGNC:19048,18,GDpDpDG,0.022641509
23,G:HGNC:6932,G:HGNC:24357,3,GTG,0.24
0,G:HGNC:6932,G:HGNC:4481,3,GTG,0.24
12,G:HGNC:6932,G:HGNC:4503,3,GTG,0.24
23,G:HGNC:6932,G:HGNC:4533,3,GTG,0.24
23,G:HGNC:6932,G:HGNC:758,23,GDpDpDG,0.009490406
9,G:HGNC:6932,G:HGNC:19997,3,GTG,0.24
0,G:HGNC:6932,G:HGNC:4512,21,GDpDpDG,0.011182109
12,G:HGNC:6932,G:HGNC:21718,3,GTG,0.24
13,G:HGNC:6932,G:HGNC:23623,3,GTG,0.24
17,G:HGNC:6932,G:HGNC:23622,3,GTG,0.24
18,G:HGNC:6932,G:HGNC:23618,3,GTG,0.24
25,G:HGNC:6932,G:HGNC:16693,3,GTG,0.24
6,G:HGNC:6932,G:HGNC:13841,20,GDpDpDG,0.009905894
10,G:HGNC:6932,G:HGNC:4532,3,GTG,0.24
1,G:HGNC:6932,G:HGNC:21253,3,GTG,0.24
7,G:HGNC:6932,G:HGNC:30694,3,GTG,0.24
9,G:HGNC:6932,G:HGNC:24829,3,GTG,0.24
12,G:HGNC:6932,G:HGNC:17980,3,GTG,0.24
13,G:HGNC:6932,G:HGNC:17617,3,GTG,0.24
9,G:HGNC:6932,G:HGNC:42400,3,GTG,0.24
13,G:HGNC:6932,G:HGNC:7899,3,GTG,0.24
17,G:HGNC:6932,G:HGNC:4531,3,GTG,0.24
16,G:HGNC:6932,G:HGNC:251,4,GDpDpDG,0.002201431
21,G:HGNC:6932,G:HGNC:11829,3,GTG,0.24
30,G:HGNC:6932,G:HGNC:29646,3,GTG,0.24
12,G:HGNC:6932,G:HGNC:25890,3,GTG,0.24
14,G:HGNC:6932,G:HGNC:3969,5,GTG,0.238095238
3,G:HGNC:6932,G:HGNC:13728,4,GTG,0.235294118
33,G:HGNC:6932,G:HGNC:14088,4,GTG,0.235294118
22,G:HGNC:6932,G:HGNC:4266,7,GTG,0.233333333
9,G:HGNC:6932,G:HGNC:20973,5,GTG,0.23255814
2,G:HGNC:6932,G:HGNC:16848,3,GTG,0.230769231
26,G:HGNC:6932,G:HGNC:257,22,GDpDpDG,0.007692308
5,G:HGNC:6932,G:HGNC:3335,3,GTG,0.230769231
2,G:HGNC:6932,G:HGNC:23522,3,GTG,0.230769231
16,G:HGNC:6932,G:HGNC:18507,3,GTG,0.230769231
0,G:HGNC:6932,G:HGNC:145,3,GDpDpDG,0.009868421
22,G:HGNC:6932,G:HGNC:23689,3,GTG,0.230769231
23,G:HGNC:6932,G:HGNC:23693,3,GTG,0.230769231
29,G:HGNC:6932,G:HGNC:31371,3,GTG,0.230769231
1,G:HGNC:6932,G:HGNC:19716,3,GTG,0.230769231
12,G:HGNC:6932,G:HGNC:30071,3,GTG,0.230769231
25,G:HGNC:6932,G:HGNC:4495,3,GTG,0.230769231
7,G:HGNC:6932,G:HGNC:164,3,GDpDpDG,0.026315789
6,G:HGNC:6932,G:HGNC:29626,3,GTG,0.230769231
8,G:HGNC:6932,G:HGNC:24828,3,GTG,0.230769231
10,G:HGNC:6932,G:HGNC:166,2,GDpDpDG,0.004474273
32,G:HGNC:6932,G:HGNC:9676,6,GTG,0.230769231
28,G:HGNC:6932,G:HGNC:27379,3,GTG,0.230769231
26,G:HGNC:6932,G:HGNC:31046,3,GTG,0.230769231
32,G:HGNC:6932,G:HGNC:28689,3,GTG,0.230769231
13,G:HGNC:6932,G:HGNC:17734,3,GTG,0.230769231
14,G:HGNC:6932,G:HGNC:4514,3,GTG,0.230769231
17,G:HGNC:6932,G:HGNC:20978,3,GTG,0.230769231
18,G:HGNC:6932,G:HGNC:14964,3,GTG,0.230769231
19,G:HGNC:6932,G:HGNC:20977,3,GTG,0.230769231
17,G:HGNC:6932,G:HGNC:34244,3,GTG,0.230769231
27,G:HGNC:6932,G:HGNC:25201,3,GTG,0.230769231
22,G:HGNC:6932,G:HGNC:171,6,GDpDpDG,0.019769357
20,G:HGNC:6932,G:HGNC:197,4,GTG,0.228571429
